Store,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,DayOfWeek,IsWeekend,lag_1,lag_2,lag_4,rolling_mean_4,rolling_mean_12
1,0,67.41,2.78,210.3895456,7.808,2010,4,17,4,0,1391256.12,1466058.28,1594968.28,1499425.3025,1514694.9408333332
1,0,72.55,2.835,210.3399684,7.808,2010,5,18,4,0,1425100.71,1391256.12,1545418.53,1456958.41,1496479.0916666668
1,0,74.78,2.854,210.3374261,7.808,2010,5,19,4,0,1603955.12,1425100.71,1466058.28,1471592.5575,1493312.2316666667
1,0,76.44,2.826,210.6170934,7.808,2010,5,20,4,0,1494251.5,1603955.12,1391256.12,1478640.8625,1483502.5091666665
1,0,80.44,2.759,210.8967606,7.808,2010,5,21,4,0,1399662.07,1494251.5,1425100.71,1480742.35,1482663.7158333333
1,0,80.69,2.705,211.1764278,7.808,2010,6,22,4,0,1432069.95,1399662.07,1603955.12,1482484.6600000001,1472435.655
1,0,80.43,2.668,211.4560951,7.808,2010,6,23,4,0,1615524.71,1432069.95,1494251.5,1485377.0575,1487100.915
1,0,84.11,2.637,211.4537719,7.808,2010,6,24,4,0,1542561.09,1615524.71,1399662.07,1497454.455,1492938.0233333334
1,0,84.34,2.653,211.3386526,7.808,2010,6,25,4,0,1503284.06,1542561.09,1432069.95,1523359.9525,1501175.8683333334
1,0,80.91,2.669,211.2235333,7.787,2010,7,26,4,0,1422711.6,1503284.06,1615524.71,1521020.365,1486821.1450000003
1,0,80.48,2.642,211.108414,7.787,2010,7,27,4,0,1492418.14,1422711.6,1542561.09,1490243.7225,1482404.4458333335
1,0,83.15,2.623,211.1003854,7.787,2010,7,28,4,0,1546074.18,1492418.14,1503284.06,1491121.9949999999,1489072.4375
1,0,83.36,2.608,211.2351443,7.787,2010,7,29,4,0,1448938.92,1546074.18,1422711.6,1477535.71,1493879.3375000001
1,0,81.84,2.64,211.3699032,7.787,2010,7,30,4,0,1385065.2,1448938.92,1492418.14,1468124.1099999999,1490543.045
1,0,87.16,2.627,211.5046621,7.787,2010,8,31,4,0,1371986.6,1385065.2,1546074.18,1438016.225,1471212.335
1,0,87.0,2.692,211.6394211,7.787,2010,8,32,4,0,1605491.78,1371986.6,1448938.92,1452870.625,1480482.3583333334
1,0,86.65,2.664,211.6033633,7.787,2010,8,33,4,0,1508237.76,1605491.78,1385065.2,1467695.335,1489530.3325000003
1,0,85.22,2.619,211.5673056,7.787,2010,8,34,4,0,1513080.49,1508237.76,1371986.6,1499699.1575,1496281.2108333334
1,0,81.21,2.577,211.5312479,7.787,2010,9,35,4,0,1449142.92,1513080.49,1605491.78,1518988.2374999998,1482416.0616666668
1,1,78.69,2.565,211.4951902,7.787,2010,9,36,4,0,1540163.53,1449142.92,1508237.76,1502656.175,1482216.265
1,0,82.11,2.582,211.5224596,7.787,2010,9,37,4,0,1507460.69,1540163.53,1513080.49,1502461.9074999997,1482564.3175
1,0,80.94,2.624,211.5972246,7.787,2010,9,38,4,0,1430378.67,1507460.69,1449142.92,1481786.4525000001,1483203.24
1,0,71.89,2.603,211.6719895,7.838,2010,10,39,4,0,1351791.03,1430378.67,1540163.53,1457448.48,1471484.3141666667
1,0,63.93,2.633,211.7467544,7.838,2010,10,40,4,0,1453329.5,1351791.03,1507460.69,1435739.9725,1463755.5908333333
1,0,67.18,2.72,211.8137436,7.838,2010,10,41,4,0,1508239.93,1453329.5,1430378.67,1435934.7824999997,1468697.3416666668
1,0,69.86,2.725,211.8612937,7.838,2010,10,42,4,0,1459409.1,1508239.93,1351791.03,1443192.39,1474892.6666666667
1,0,69.64,2.716,211.9088438,7.838,2010,10,43,4,0,1345454.0,1459409.1,1453329.5,1441608.1325,1472681.6166666665
1,0,58.74,2.689,211.9563939,7.838,2010,11,44,4,0,1384209.22,1345454.0,1508239.93,1424328.0625,1454241.4033333333
1,0,59.61,2.728,212.003944,7.838,2010,11,45,4,0,1551659.28,1384209.22,1459409.1,1435182.9,1457859.8633333333
1,0,51.41,2.771,211.8896737,7.838,2010,11,46,4,0,1494479.49,1551659.28,1345454.0,1443950.4975,1456309.78
1,1,64.52,2.735,211.7484333,7.838,2010,11,47,4,0,1483784.18,1494479.49,1384209.22,1478533.0425,1459196.5516666668
1,0,49.27,2.708,211.607193,7.838,2010,12,48,4,0,1955624.11,1483784.18,1551659.28,1621386.765,1493818.2666666666
1,0,46.33,2.843,211.4659526,7.838,2010,12,49,4,0,1548033.78,1955624.11,1494479.49,1620480.39,1497199.3575
1,0,49.84,2.869,211.4053124,7.838,2010,12,50,4,0,1682614.26,1548033.78,1483784.18,1667514.0825,1518218.99
1,0,52.33,2.886,211.4051222,7.838,2010,12,51,4,0,1891034.93,1682614.26,1955624.11,1769326.77,1563155.9816666665
1,1,48.43,2.943,211.4049321,7.838,2010,12,52,4,0,2387950.2,1891034.93,1548033.78,1877408.2925,1641041.0399999998
1,0,48.27,2.976,211.4047419,7.742,2011,1,1,4,0,1367320.01,2387950.2,1682614.26,1832229.85,1629297.7133333331
1,0,35.4,2.983,211.4574109,7.742,2011,1,2,4,0,1444732.28,1367320.01,1891034.93,1772759.355,1628074.6450000003
1,0,44.04,3.016,211.8272343,7.742,2011,1,3,4,0,1391013.96,1444732.28,2387950.2,1647754.1125000003,1631871.3083333336
1,0,43.83,3.01,212.1970577,7.742,2011,1,4,4,0,1327405.42,1391013.96,1367320.01,1382617.9175,1627137.6583333332
1,0,42.27,2.989,212.5668812,7.742,2011,2,5,4,0,1316899.31,1327405.42,1444732.28,1370012.7425,1607574.3275
1,1,36.39,3.022,212.9367046,7.742,2011,2,6,4,0,1606629.58,1316899.31,1391013.96,1410487.0675,1616920.1683333332
1,0,57.36,3.045,213.2478853,7.742,2011,2,7,4,0,1649614.93,1606629.58,1327405.42,1475137.31,1630739.3975
1,0,62.9,3.065,213.535609,7.742,2011,2,8,4,0,1686842.78,1649614.93,1316899.31,1564996.65,1608340.9533333334
1,0,59.58,3.288,213.8233327,7.742,2011,3,9,4,0,1456800.28,1686842.78,1606629.58,1599971.8924999998,1600738.1616666664
1,0,53.56,3.459,214.1110564,7.742,2011,3,10,4,0,1636263.41,1456800.28,1649614.93,1607380.35,1596875.5908333333
1,0,62.76,3.488,214.3627114,7.742,2011,3,11,4,0,1553191.63,1636263.41,1686842.78,1583274.525,1568721.9825
1,0,69.97,3.473,214.5999389,7.742,2011,3,12,4,0,1576818.06,1553191.63,1456800.28,1555768.3450000002,1501127.6375
1,0,59.17,3.524,214.8371664,7.682,2011,4,13,4,0,1541102.38,1576818.06,1636263.41,1576843.87,1515609.5016666667
1,0,67.84,3.622,215.0743939,7.682,2011,4,14,4,0,1495064.75,1541102.38,1553191.63,1541544.205,1519803.8741666665
1,0,71.27,3.743,215.2918561,7.682,2011,4,15,4,0,1614259.35,1495064.75,1576818.06,1556811.135,1538407.656666667
1,0,72.99,3.807,215.4599053,7.682,2011,4,16,4,0,1559889.0,1614259.35,1541102.38,1552578.87,1557781.2883333333
1,0,72.03,3.81,215.6279544,7.682,2011,4,17,4,0,1564819.81,1559889.0,1495064.75,1558508.2275,1578441.33
1,0,64.61,3.906,215.7960035,7.682,2011,5,18,4,0,1455090.69,1564819.81,1614259.35,1548514.7125,1565813.0891666666
1,0,75.64,3.899,215.9640526,7.682,2011,5,19,4,0,1629391.28,1455090.69,1559889.0,1552297.695,1564127.785
1,0,67.63,3.907,215.7339202,7.682,2011,5,20,4,0,1604775.58,1629391.28,1564819.81,1563519.34,1557288.8516666666
1,0,77.72,3.786,215.5037878,7.682,2011,5,21,4,0,1428218.27,1604775.58,1455090.69,1529368.955,1554907.0175
1,0,83.0,3.699,215.2736553,7.682,2011,6,22,4,0,1466046.67,1428218.27,1629391.28,1532107.95,1540722.2891666668
1,0,83.13,3.648,215.0435229,7.682,2011,6,23,4,0,1635078.41,1466046.67,1604775.58,1533529.7325,1547546.1875
1,0,86.41,3.637,214.9980596,7.682,2011,6,24,4,0,1588948.32,1635078.41,1428218.27,1529572.9175,1548557.0424999997
1,0,83.58,3.594,215.0910982,7.682,2011,6,25,4,0,1532114.86,1588948.32,1466046.67,1555547.065,1547808.0825000003
1,0,85.55,3.524,215.1841368,7.962,2011,7,26,4,0,1438830.15,1532114.86,1635078.41,1548742.935,1543121.8658333335
1,0,85.83,3.48,215.2771754,7.962,2011,7,27,4,0,1488538.09,1438830.15,1588948.32,1512107.855,1532645.0941666665
1,0,88.54,3.575,215.3611087,7.962,2011,7,28,4,0,1534849.64,1488538.09,1532114.86,1498583.185,1530558.4808333332
1,0,85.77,3.651,215.4222784,7.962,2011,7,29,4,0,1455119.97,1534849.64,1438830.15,1479334.4625000001,1521416.8275
1,0,86.83,3.682,215.4834482,7.962,2011,7,30,4,0,1396926.82,1455119.97,1488538.09,1468858.63,1516569.8383333331
1,0,91.65,3.684,215.544618,7.962,2011,8,31,4,0,1352219.79,1396926.82,1534849.64,1434779.0550000002,1493472.2141666666
1,0,90.76,3.638,215.6057878,7.962,2011,8,32,4,0,1624383.75,1352219.79,1455119.97,1457162.5825,1495106.2283333333
1,0,89.94,3.554,215.6693107,7.962,2011,8,33,4,0,1525147.09,1624383.75,1396926.82,1474669.3625,1503183.63
1,0,87.96,3.523,215.7332258,7.962,2011,8,34,4,0,1530761.43,1525147.09,1352219.79,1508128.0150000001,1508576.5266666666
1,0,87.83,3.533,215.7971409,7.962,2011,9,35,4,0,1464693.46,1530761.43,1624383.75,1536246.4324999999,1494377.7808333335
1,1,76.0,3.546,215.861056,7.962,2011,9,36,4,0,1550229.22,1464693.46,1525147.09,1517707.8,1491151.1891666667
